Cambrian 1	Cambrian 2	Cambrian 3	Cambrian 4	Ordovician 1	Ordovician 2	Ordovician 3	Ordovician 4	Ordovician 5	Silurian 1	Silurian 2	Devonian 1	Devonian 2	Devonian 3	Devonian 4	Devonian 5	Carboniferous 1	Carboniferous 2	Carboniferous 3	Carboniferous 4	Carboniferous 5	Permian 1	Permian 2	Permian 3	Permian 4	Triassic 1	Triassic 2	Triassic 3	Triassic 4	Jurassic 1	Jurassic 2	Jurassic 3	Jurassic 4	Jurassic 5	Jurassic 6	Cretaceous 1	Cretaceous 2	Cretaceous 3	Cretaceous 4	Cretaceous 5	Cretaceous 6	Cretaceous 7	Cretaceous 8	Cenozoic 1	Cenozoic 2	Cenozoic 3	Cenozoic 4	Cenozoic 5	Cenozoic 6
Cambrian 1	16	28	12	3	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cambrian 2	0	816	108	12	4	1	0	4	6	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
Cambrian 3	0	0	347	97	13	4	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cambrian 4	0	0	0	323	67	19	3	6	8	0	2	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Ordovician 1	0	0	0	0	201	109	30	39	30	4	16	7	2	5	1	1	0	3	0	0	0	0	0	1	2	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Ordovician 2	0	0	0	0	0	250	87	71	54	23	20	8	6	7	4	2	0	1	2	0	0	0	0	2	2	1	1	2	2	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
Ordovician 3	0	0	0	0	0	0	91	87	64	13	37	6	1	12	1	2	1	1	0	1	0	0	0	4	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ordovician 4	0	0	0	0	0	0	0	399	184	48	55	17	14	35	11	5	2	3	2	1	1	3	4	6	11	0	1	1	2	1	1	0	0	2	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0
Ordovician 5	0	0	0	0	0	0	0	0	208	29	37	15	6	15	1	4	1	2	4	1	0	1	2	2	4	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Silurian 1	0	0	0	0	0	0	0	0	0	196	156	52	32	51	15	6	2	3	3	1	2	0	2	5	8	0	2	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Silurian 2	0	0	0	0	0	0	0	0	0	0	565	107	44	68	25	12	6	6	8	2	0	2	2	6	13	1	2	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Devonian 1	0	0	0	0	0	0	0	0	0	0	0	283	113	129	45	15	2	6	3	4	2	2	3	6	10	2	1	1	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Devonian 2	0	0	0	0	0	0	0	0	0	0	0	0	264	155	25	12	3	3	5	4	1	1	1	8	8	5	1	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Devonian 3	0	0	0	0	0	0	0	0	0	0	0	0	0	436	61	29	8	9	8	5	0	6	3	12	19	3	1	3	3	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0
Devonian 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	22	6	1	0	2	1	0	0	2	8	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
