Bin,Bin name,Base Ma,Midpoint Ma,Collections sampled,Mean sampled diversity,3T origination rate,3T extinction rate
49,Cenozoic 6,11.6,5.8,168.6,720,NA,NA
48,Cenozoic 5,23,17.3,213.9,818.4,0.278,0.163
47,Cenozoic 4,33.9,28.5,198,607.2,0.24,0.044
46,Cenozoic 3,40.4,37.1,175,609.2,0.108,0.205
45,Cenozoic 2,55.8,48.1,236.6,597.4,0.221,0.051
44,Cenozoic 1,65.5,60.6,172.9,589.4,1.365,0.14
43,Cretaceous 8,70.6,68,29.6,175.7,-0.053,0.428
42,Cretaceous 7,83.5,77,136.8,414.2,0.386,0.677
41,Cretaceous 6,93.5,88.5,288.9,435.1,0.688,0.293
40,Cretaceous 5,99.6,96.5,123.7,261.8,0.346,0.245
39,Cretaceous 4,112,105.8,175.3,369.1,0.275,0.735
38,Cretaceous 3,125,118.5,200.5,476.8,0.531,0.382
37,Cretaceous 2,136.4,130.7,154.4,279.6,0.513,0.113
36,Cretaceous 1,145.5,140.9,171.6,268,0.574,0.507
35,Jurassic 6,150.8,148.2,97.3,267.8,0.127,0.481
34,Jurassic 5,164.7,157.8,89,338.5,0.306,0.35
33,Jurassic 4,171.6,168.1,92.8,250.7,0.638,-0.098
32,Jurassic 3,183,177.3,94.5,185.9,0.528,0.24
31,Jurassic 2,189.6,186.3,50.5,111.3,0.01,0.121
30,Jurassic 1,199.6,194.6,80.8,148.3,0.548,0.417
29,Triassic 4,216.5,208.1,129.9,289.6,0.286,1.163
28,Triassic 3,228,222.2,117.3,304.3,0.545,0.351
27,Triassic 2,245,236.5,125.1,259.4,1.339,0.238
26,Triassic 1,251,248,110.2,162.5,0.921,0.787
25,Permian 4,260.5,255.8,163.9,332.5,0.525,2.186
24,Permian 3,272.5,266.5,181.2,398.2,0.255,0.476
23,Permian 2,284,278.2,198.1,408.7,0.487,0.304
22,Permian 1,299,291.5,156.9,290.6,0.969,0.099
21,Carboniferous 5,305,302,40.1,99,0.015,0.012
20,Carboniferous 4,318.1,311.6,120.6,260.9,0.549,0.641
19,Carboniferous 3,336,327.1,40.4,159.7,0.18,0.339
18,Carboniferous 2,349.5,342.8,60.8,234.3,0.358,0.496
17,Carboniferous 1,359.2,354.4,83,229.8,0.576,0.217
16,Devonian 5,376.1,367.6,109.8,224.2,0.927,0.618
15,Devonian 4,383.7,379.9,76.3,139.4,0.001,0.552
14,Devonian 3,391.9,387.8,100.3,356.9,0.041,0.885
13,Devonian 2,409.1,400.5,202.7,614.5,0.342,0.567
12,Devonian 1,418.1,413.6,144.9,481.4,0.628,0.272
11,Silurian 2,428.2,423.1,104.1,492.4,0.501,0.424
10,Silurian 1,443.7,435.9,99.3,280.9,0.917,0.177
9,Ordovician 5,450,446.9,103.6,302.4,0.368,0.954
8,Ordovician 4,460.9,455.4,96.8,312.1,0.629,0.375
7,Ordovician 3,466,463.4,108,299.4,0.616,0.679
6,Ordovician 2,488.3,477.1,130.4,344.9,0.931,0.923
5,Ordovician 1,490,489.1,146.1,279.7,1.924,1.012
4,Cambrian 4,501,495.5,118.8,253,1.92,1.75
3,Cambrian 3,513,507,101.3,234.9,1.28,1.4
2,Cambrian 2,542,527.5,120.2,357.5,2.45,1.698
1,Cambrian 1,542,542,18.6,29.7,NA,NA
