genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
,89.300,0.113,8,0,NaN
Aaptochiton,265.000,259.000,1,0,NaN
Aatocrinus,290.100,279.500,1,1,0.0039
Abactinocrinus,376.100,360.700,1,0,NaN
Abadiella,520.000,516.000,2,0,NaN
Abakania,516.000,513.000,3,0,NaN
Abakanicyathus,516.000,513.000,7,0,NaN
Abakolia,513.000,501.000,3,0,NaN
Abatocrinus,360.700,345.000,4,3,0.0092
Abbreviatocrinites,388.100,383.700,1,0,NaN
Abderospira,0.012,0.000,2,2,0.0365
Abichites,254.000,252.300,33,4,0.2515
Abludoglyptocrinus,460.900,449.500,15,1,0.0125
Aboriginella,498.500,488.300,2,0,NaN
Abra,3.600,2.588,4,0,NaN
Abrachlamys,23.030,15.970,1,0,NaN
Abrekopsis,251.300,247.200,1,1,0.0851
Abrobairdia,279.500,252.300,8,0,NaN
Abrograptus,463.500,460.900,1,0,NaN
Abrotocrinus,360.700,345.000,8,6,0.0037
Abrytasites,136.400,130.000,5,1,0.0303
Absidaticonus,542.000,516.000,1,0,NaN
Abyssocrinus,422.900,416.000,2,1,0.0135
Abyssophthalmus,150.800,145.500,3,0,NaN
Acaciapora,279.500,272.500,2,0,NaN
Acacocrinus,443.700,422.900,2,0,NaN
Acadoparadoxides,513.000,501.000,2,0,NaN
Acambona,360.700,345.300,1,0,NaN
Acanthalosia,290.100,279.500,6,1,0.0597
Acanthambonia,471.800,443.700,2,0,NaN
Acanthastrea,28.400,0.00299,77,23,0.0391
Acanthatia,360.700,353.800,2,0,NaN
Acanthina,0.126,0.012,1,0,NaN
Acanthinocyathus,516.000,513.000,4,0,NaN
Acanthocardia,48.600,0.012,24,0,NaN
Acanthoceramoporella,445.600,443.700,2,0,NaN
Acanthoceras,112.030,89.300,23,6,0.0262
Acanthochaetetes,155.700,0.012,9,3,1.0000
Acanthochitona,11.608,3.600,2,0,NaN
Acanthocladia,314.600,252.300,104,3,0.0066
Acanthoclema,443.700,383.700,9,0,NaN
Acanthocoenia,125.450,122.460,2,2,0.0164
Acanthocrania,460.900,265.000,50,2,0.0130
Acanthocythere,171.600,164.700,2,0,NaN
Acanthodesia,3.600,2.588,1,0,NaN
Acanthodiscus,136.400,130.000,5,0,NaN
Acanthograptus,488.300,412.300,14,0,NaN
Acanthogyra,161.200,99.600,16,3,0.0159
Acanthohalysites,436.000,428.200,4,0,NaN
Acanthohoplites,122.460,112.030,13,0,NaN
Acantholaminatus,460.900,449.500,4,0,NaN
Acanthomicmacca,520.000,513.000,1,0,NaN
Acanthoparypha,468.100,457.500,38,12,0.0137
Acanthopecten,360.700,252.300,57,14,0.0050
Acanthophyllia,15.970,11.608,2,0,NaN
Acanthophyllum,416.000,382.400,112,0,NaN
Acanthoplecta,360.700,326.400,8,1,0.0475
Acanthopleuroceras,189.600,183.000,4,0,NaN
Acanthopora,136.400,130.000,1,0,NaN
Acanthopyge,428.200,388.100,33,19,0.2294
Acanthopyrgus,520.000,513.000,3,0,NaN
Acanthorhynchia,167.700,164.700,3,1,0.0270
Acanthoscapha,460.900,235.000,8,0,NaN
Acanthoscaphites,83.500,65.500,5,0,NaN
Acanthospirifer,416.000,412.300,12,4,0.0035
Acanthospirina,364.700,360.700,2,0,NaN
Acanthoteuthis,155.700,150.800,1,0,NaN
Acanthotheca,507.000,505.000,3,0,NaN
Acanthotheelia,247.200,221.500,14,0,NaN
Acanthothiris,175.600,164.700,16,3,0.0213
Acanthotoechia,478.600,466.000,1,0,NaN
Acareorthis,516.000,501.000,2,2,0.0864
Acaste,428.200,422.900,2,0,NaN
Acculina,460.900,449.500,6,6,0.0845
Acdalopora,449.500,443.700,2,0,NaN
Acernaspis,443.700,436.000,12,0,NaN
Acerocare,488.300,478.600,1,0,NaN
Acervularia,428.200,383.700,28,0,NaN
