genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
,242.000,2.588,15,2,0.0095
Aaleniella,180.100,122.460,12,0,NaN
Abatocrinus,345.300,342.800,4,1,0.0060
Abbasites,183.000,171.600,3,0,NaN
Abderospira,40.400,33.900,3,2,0.0008
Aberia,449.500,443.700,1,0,NaN
Abertella,18.2,11.608,4,0,NaN
Abichites,254.000,252.300,4,0,NaN
Abiesgraptus,416.000,412.300,1,0,NaN
Abludoglyptocrinus,460.900,449.500,1,0,NaN
Abra,55.800,0.000,247,122,0.0024
Abrekia,251.300,247.200,1,0,NaN
Abrotocrinus,345.300,345.000,10,5,0.0222
Abrytasites,130.000,125.450,1,1,0.1200
Abylea,313.800,305.900,1,1,0.1791
Acadagnostus,513.000,478.600,5,2,0.0673
Acadolenus,513.000,505.000,2,0,NaN
Acadoparadoxides,513.000,505.000,10,1,0.5844
Acamptogenotia,48.600,7.246,17,8,0.0007
Acanthalosia,290.100,259.000,45,7,0.0267
Acanthambonia,488.300,445.600,3,2,0.0137
Acanthastrea,13.650,12.700,1,0,NaN
Acanthatia,364.700,345.300,6,0,NaN
Acanthina,23.030,0.000,76,0,NaN
Acanthinites,221.500,215.560,1,0,NaN
Acanthocardia,85.800,0.000,89,20,0.0088
Acanthoceras,105.300,89.300,58,6,0.1437
Acanthochitona,0.781,0.126,1,0,NaN
Acanthocladia,336.000,254.000,62,54,0.2249
Acanthoclema,443.700,383.700,9,0,NaN
Acanthocosta,360.700,345.300,1,0,NaN
Acanthocrania,457.500,360.700,14,0,NaN
Acanthocrinus,409.100,383.700,7,0,NaN
Acanthocystites,513.000,501.000,1,0,NaN
Acanthocythereis,11.608,7.246,1,1,0.0362
Acanthodesia,23.030,5.332,5,0,NaN
Acanthodiscus,145.500,130.000,5,0,NaN
Acanthodrepanites,215.560,212.000,2,0,NaN
Acanthograptus,542.000,388.100,3,0,NaN
Acanthohalysites,422.900,418.700,1,0,NaN
Acanthohoplites,125.450,112.030,12,6,0.2396
Acanthomeridion,520.000,516.000,9,3,0.0025
Acanthonema,409.100,391.900,1,0,NaN
Acanthoparypha,460.900,449.500,2,0,NaN
Acanthopecten,364.700,254.000,53,8,0.0299
Acanthophillipsia,265.000,254.000,5,0,NaN
Acanthophyllia,23.030,5.332,2,0,NaN
Acanthophyllum,391.900,383.700,3,0,NaN
Acanthoplecta,360.700,339.400,2,2,0.0195
Acanthopleuroceras,189.600,183.000,36,0,NaN
Acanthopyge,439.000,391.900,6,0,NaN
Acanthorhynchia,161.200,136.400,4,2,0.0056
Acanthoscaphites,83.500,65.500,6,0,NaN
Acanthospirina,326.400,318.100,1,0,NaN
Acanthotheelia,242.000,235.000,1,0,NaN
