genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
,89.300,0.113,10,0,NaN
Aaptochiton,265.000,259.000,1,0,NaN
Aatocrinus,290.100,279.500,1,1,0.0039
Abadehceras,259.000,254.000,1,0,NaN
Abadiella,520.000,516.000,2,0,NaN
Abakania,516.000,513.000,5,2,1.0000
Abakanicyathus,516.000,513.000,7,0,NaN
Abakolia,513.000,501.000,2,0,NaN
Abatocrinus,360.700,342.800,3,2,0.0076
Abbasites,175.600,171.600,2,0,NaN
Abbreviatocrinites,388.100,383.700,1,0,NaN
Abderospira,37.200,0.000,3,2,0.0365
Abharella,501.000,488.300,1,0,NaN
Abichites,254.000,252.300,37,4,0.2515
Abludoglyptocrinus,460.900,449.500,16,0,NaN
Aboriginella,498.500,488.300,2,0,NaN
Abra,28.400,23.030,1,0,NaN
Abrachlamys,23.030,15.970,1,0,NaN
Abrekopsis,251.300,247.200,1,1,0.0851
Abrobairdia,279.500,252.300,8,0,NaN
Abrotocrinus,360.700,342.800,7,5,0.0026
Abruptolopha,70.600,65.500,1,0,NaN
Abrytasites,136.400,130.000,11,1,0.0303
Absidaticonus,542.000,516.000,1,0,NaN
Abyssophthalmus,150.800,145.500,3,0,NaN
Acaciapora,345.300,272.500,6,0,NaN
Acacocrinus,443.700,422.900,2,0,NaN
Acadoparadoxides,513.000,501.000,1,0,NaN
Acambona,360.700,345.300,1,0,NaN
Acanthalosia,290.100,279.500,14,8,0.5641
Acanthambonia,471.800,443.700,2,0,NaN
Acanthastrea,28.400,0.00299,71,23,0.0391
Acanthatia,360.700,353.800,1,0,NaN
Acanthina,0.126,0.012,2,0,NaN
Acanthinites,215.560,212.000,1,1,1.0000
Acanthinocyathus,516.000,513.000,4,0,NaN
Acanthocardia,55.800,0.012,26,2,0.0057
Acanthoceramoporella,445.600,443.700,2,0,NaN
Acanthoceras,112.030,89.300,45,8,0.0401
Acanthochaetetes,112.030,0.012,7,3,1.0000
Acanthochitona,11.608,3.600,2,0,NaN
Acanthocladia,314.600,252.300,102,12,0.0469
Acanthoclema,428.200,383.700,17,0,NaN
Acanthoclymenia,383.700,382.400,4,0,NaN
Acanthocoenia,125.450,122.460,2,2,0.0164
Acanthocrania,460.900,265.000,59,2,0.0124
Acanthocythere,167.700,164.700,1,0,NaN
Acanthodesia,33.900,28.400,2,0,NaN
Acanthodiscus,161.200,130.000,4,0,NaN
Acanthograptus,542.000,412.300,5,0,NaN
Acanthogyra,161.200,99.600,15,4,0.0230
Acanthohalysites,436.000,428.200,3,0,NaN
Acanthohoplites,122.460,109.000,21,0,NaN
Acantholambrus,40.400,37.200,1,0,NaN
Acantholaminatus,460.900,449.500,4,0,NaN
Acanthomicmacca,520.000,513.000,2,0,NaN
Acanthoparypha,468.100,457.500,37,12,0.0137
Acanthopecten,360.700,252.300,77,12,0.0055
Acanthophyllia,15.970,5.332,3,0,NaN
Acanthophyllum,416.000,268.000,129,0,NaN
Acanthoplecta,360.700,326.400,8,1,0.0475
Acanthopora,140.200,136.400,1,0,NaN
Acanthopyge,428.200,383.700,39,19,0.2294
Acanthopyrgus,520.000,513.000,4,0,NaN
Acanthorhynchia,167.700,136.400,8,3,0.0095
Acanthoscapha,428.200,235.000,12,0,NaN
Acanthoscaphites,83.500,65.500,8,3,0.3358
Acanthospirifer,416.000,412.300,12,4,0.0035
Acanthoteuthis,155.700,150.800,1,0,NaN
Acanthotheca,507.000,505.000,3,0,NaN
Acanthotheelia,247.200,205.600,17,0,NaN
Acanthothiris,175.600,164.700,17,3,0.0213
Acanthotoechia,478.600,466.000,1,0,NaN
Acareorthis,516.000,501.000,2,2,0.0864
Acaste,426.200,416.000,8,0,NaN
Acastella,421.300,409.100,11,0,NaN
