authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"S. Peters","S. Peters",,18615,G.,ALENCÁSTER,L,OMAÑA,,2006,"MAASTRICHTIAN INOCERAMID BIVALVES FROM CENTRAL CHIAPAS, SOUTHEASTERN MÉXICO","Journal of Paleontology",,80,5,946,957,"journal article","stated with evidence",English,,,,,"2006-09-08 15:11:46","2006-09-09 08:11:46"
"A. Hendy","A. Hendy",,29264,"H. L.",Abbass,,,,1962,"The english Cretaceous Turritellide and Mathildidae (Gastropoda)","Bulletin of the British Museum (Natural History), Geology",,7,6,175,196,"journal article","stated with evidence",English,,,,,"2009-02-26 16:21:41","2009-02-27 11:21:41"
"W. Kiessling","U. Merkel",,34459,E.,Abbate,G.,Ficcarelli,"C. Pirini Radrizzani, A. Salvietti, D. Torre, A. Turi",1974,"Jurassic sequences from the Somali coast of the Gulf of Aden","Rivista Italiana di Paleontologia e Stratigrafia",,80,3,409,478,"journal article","stated without evidence",English,,,,,"2010-12-08 19:40:42","2010-12-08 19:40:42"
"A. Hendy","A. Hendy",,19379,"R. T.",Abbott,,,,1974,,"American Seashells: The marine Mollusca of the Alantic and Pacific coasts of North America",,,,663,,"book/book chapter","stated with evidence",English,,"Van Nostrand Reinhold, New York",,,"2006-12-12 08:27:59","2006-12-13 03:27:59"
"W. Kiessling","U. Merkel",,32339,"S. T.",Abbott,,,,1992,"The Mid Pleistocene Waiomio Shellbed (Castlecliffian, ca. 550-600 ky), Wanganui Basin, New Zealand",Alcheringa,,16,,171,180,"journal article","stated without evidence",English,,,,,"2010-03-26 05:50:09","2010-03-26 23:50:09"
"W. Kiessling","M. Apel","M. Apel",7642,"G. I.",Abdel-Gawad,,,,1986,"Maastrichtian non-cephalopod mollusks: Scaphopoda, Gastropoda and Bivalvia of the Middle Vistula Valley, central Poland","Acta Geologica Polonica",,36,1-3,69,224,"journal article","stated without evidence",,,,,,"2003-01-14 01:38:46","2003-01-14 20:38:46"
"A. Miller","A. Hendy",,18442,"M. A.",Abdelhamid,M.M.,Azab,,2003,"Aptian-Cenomanian Echinoids from Egypt","Revue de Paleobiologie, Geneve",,22,2,851,876,"journal article","stated with evidence",English,,,,,"2006-08-29 02:00:55","2006-08-29 19:00:55"
"M. Uhen","M. Uhen","M. Uhen",12863,O.,Abel,,,,1905,"Eine Stammtype der Delphiniden aus dem Miocan der Halbinsel Taman","Jahrbuch der Kaiserlich-Koniglichen Geologischen Reichsanstalt",,60,,375,388,"journal article","stated without evidence",German,,,,,"2005-03-11 12:42:10","2005-09-26 06:46:14"
"M. Uhen","M. Uhen","M. Uhen",12866,O.,Abel,,,,1905,"Uber Halitherium bellunense, eine Ubergansform zur Gattung Metaxytherium","Jarbuch der Kaiserlich-Koniglichen Geologischen Reichsanstalt",,60,,393,398,"journal article","stated without evidence",German,,,,,"2005-03-12 06:25:37","2005-09-26 06:46:53"
"M. Uhen","M. Uhen",,36308,O.,Abel,,,,1913,"Die eocanen Sirenen der Mittelmeerregion. Erster Tiel: Der Schadel von Eotherium aegyptiacum",Palaeontographica,,59,,289,360,"journal article","stated without evidence",English,,,,,"2011-06-02 02:23:27","2011-06-02 02:23:27"
"M. Kosnik","M. Kosnik",,487,M.,Aberhan,,,,1992,"Palokologie und zeitliche Verbreitung benthischer Faunengemeinschaften im Unterjura von Chile",Beringeria,,5,,1,174,,"stated without evidence",German,,,,,"2000-05-31 12:36:31","2000-06-01 05:36:31"
"M. Aberhan","S. Nurnberg",,14836,M.,Aberhan,,,,1993,,,,,,,,unpublished,"stated without evidence",English,,,,,"2005-10-11 03:03:46","2005-10-11 20:03:58"
"M. Aberhan","S. Nurnberg",,14835,M.,Aberhan,,,,1995,,,,,,,,unpublished,"stated without evidence",English,,,,,"2005-10-11 03:02:32","2005-10-11 20:02:32"
"M. Aberhan","S. Nurnberg","S. Nurnberg",14361,M.,Aberhan,,,,1998,"Early Jurassic Bivalvia of western Canada. Part I. Subclasses Palaeotaxodonta, Pteriomorpha, and Isofilibranchia ",Beringeria,,21,,57,150,"journal article","stated without evidence",English,,,,,"2005-09-06 02:43:03","2005-09-06 19:43:03"
"M. Aberhan","S. Nurnberg","S. Nurnberg",9583,M.,Aberhan,,,,2000,Tendaguru,,,,,,,unpublished,"stated without evidence",,,"Tendaguru expedition 2000",,,"2003-12-18 00:48:42","2003-12-18 19:48:42"
"M. Aberhan","S. Nurnberg","S. Nurnberg",9607,M.,Aberhan,,,,2003,"Tendaguru Expedition 1909-1913",,,,,,,unpublished,"stated without evidence",,,,,,"2003-12-22 05:13:59","2003-12-23 00:34:59"
"M. Aberhan","S. Nurnberg","S. Nurnberg",9579,M.,Aberhan,R.,Bussert,"W.-D. Heinrich, E. Schrank, S. Schultka, B. Sames, J. Kriwet, S. Kapilima",2002,"Palaeoecology and depositional environments of the Tendaguru Beds (Late Jurassic to Early Cretaceous, Tanzania)","Mitt. Mus. Nat.kd. Berl., Geowiss. Reihe",,,5(2002),19,44,"journal article","stated without evidence",,,,,,"2003-12-16 03:35:41","2004-01-27 05:02:48"
"L. Ivany","P. Wall","P. Wall",11710,M.,Aberhan,F.T.,Fursich,,1991,"Paleoecology and paleoenvironments of the Pleistocene deposits of Bahia la Choya (Gulf of California, Sonora, Mexico)",Zitteliana,,18,,135,163,"journal article","stated without evidence",,,,,,"2004-09-22 11:00:07","2004-09-23 04:00:07"
"M. Clapham","M. Clapham",,44750,M.,Aberhan,A.,"von Hillebrandt",,1996,"Taxonomy, ecology, and palaeobiogeography of Gervilleioperna (Gervilleiognoma) aurita n. subgen, n. sp. (Bivalvia) from the Middle Jurassic of northern Chile","Palaeontologische Zeitschrift",,70,,79,96,"journal article","stated with evidence",English,,,,,"2013-02-09 15:00:52","2013-02-09 15:00:52"
"M. Clapham","M. Clapham",,27345,B.C.,Abramov,A.D.,Grigorieva,,1988,,"Biostratigraphiya i Brakhiopody Permi Verkhoyaniya",,,,1,204,"book/book chapter","stated without evidence",Russian,,,,,"2008-06-07 16:06:25","2008-06-08 09:06:25"
"A. Hendy","A. Hendy",,26295,R.,Abrard,,,,1946,"Fossiles Néogénes et Quaternaires des Nouvelles-Hébrides","Annales de Paléontologie",,32,,1,112,"journal article","stated with evidence",French,,,,,"2008-01-22 14:15:10","2008-01-23 09:15:10"
"A. Miller","P. Novack-Gottshall",,482,,"Academy of Geological Sciences",,"Jiangsu Bureau of Petroleum Prospecting","Nanjing Institute of Geology and Paleontology, Academia Sinica",1988,"Sinian-Triassic biostratigraphy of the Lower Yangtze peneplatform in Jiangsu Region","Nanjing University Press, Nanjing, China",,,,,,,"stated without evidence",,,,,,"2000-05-24 16:08:25","2000-05-25 09:08:25"
