"tbin","family","otu","T3PubDiv"
"Cenozoic 5","Abertellidae","Abertella",0.481527799779729
"Cenozoic 5","Acanthochitonidae","Acanthochitona",0.481527799779729
"Cenozoic 5","Acanthochitonidae","Cryptoplax",0.481527799779729
"Cenozoic 5","Acanthosomatidae","Acanthosoma",0.481527799779729
"Cenozoic 5","Aciculidae","Acme (Platyla)",0.481527799779729
"Cenozoic 5","Aclididae","Scalaronoba",0.481527799779729
"Cenozoic 5","Aclididae","Stilbe",0.481527799779729
"Cenozoic 5","Acmaeidae","Tectura",0.481527799779729
"Cenozoic 5","Acrididae","Bryodema",0.481527799779729
"Cenozoic 5","Acrididae","Oedipoda",0.481527799779729
"Cenozoic 5","Acroporidae","Acropora",0.481527799779729
"Cenozoic 5","Acroporidae","Astreopora",0.481527799779729
"Cenozoic 5","Acroporidae","Montipora",0.481527799779729
"Cenozoic 5","Acroporidae","Dendracis",0.481527799779729
"Cenozoic 5","Acroporidae","Polysolenia",0.481527799779729
"Cenozoic 5","Acroporidae","Isopora",0.481527799779729
"Cenozoic 5","Acteonidae","Acteon",0.481527799779729
"Cenozoic 5","Acteonidae","Acteon (Acteon)",0.481527799779729
"Cenozoic 5","Acteonidae","Actaeon",0.481527799779729
"Cenozoic 5","Acteonidae","Crenilabium",0.481527799779729
"Cenozoic 5","Actinacididae","Actinacis",0.481527799779729
"Cenozoic 5","Actinacididae","Actinaraea",0.481527799779729
"Cenozoic 5","Actinastreidae","Actinastrea",0.481527799779729
"Cenozoic 5","Actisecidae","Actisecos",0.481527799779729
"Cenozoic 5","Adeonellidae","Adeonella",0.481527799779729
"Cenozoic 5","Adeonidae","Reptadeonella",0.481527799779729
"Cenozoic 5","Adeonidae","Adeonellopsis",0.481527799779729
"Cenozoic 5","Adeonidae","Anarthropora",0.481527799779729
"Cenozoic 5","Adeonidae","Schizostomella",0.481527799779729
"Cenozoic 5","Adeorbidae","Daronia",0.481527799779729
"Cenozoic 5","Aeshnidae","Heliaeschna",0.481527799779729
"Cenozoic 5","Aethridae","Hepatella",0.481527799779729
"Cenozoic 5","Agariciidae","Pachyseris",0.481527799779729
"Cenozoic 5","Agariciidae","Agaricia",0.481527799779729
"Cenozoic 5","Agariciidae","Leptoseris",0.481527799779729
"Cenozoic 5","Agariciidae","Cyathoseris",0.481527799779729
"Cenozoic 5","Agariciidae","Pavona",0.481527799779729
"Cenozoic 5","Agariciidae","Trochoseris",0.481527799779729
"Cenozoic 5","Agariciidae","Gardineroseris",0.481527799779729
"Cenozoic 5","Agariciidae","Mioseris",0.481527799779729
"Cenozoic 5","Agariciidae","Hydnophoseris",0.481527799779729
"Cenozoic 5","Agariciidae","Pseudocolumnastraea",0.481527799779729
"Cenozoic 5","Agathiphylliidae","Pattalophyllia",0.481527799779729
"Cenozoic 5","Alderinidae","Ellisinidra",0.481527799779729
"Cenozoic 5","Amathinidae","Leucotina",0.481527799779729
"Cenozoic 5","Ampullinidae","Globularia",0.481527799779729
"Cenozoic 5","Ampullinidae","Ampullonatica",0.481527799779729
"Cenozoic 5","Ampullinidae","Ampullinopsis",0.481527799779729
"Cenozoic 5","Ampullinidae","Ampullina",0.481527799779729
"Cenozoic 5","Ampullinidae","Cernina",0.481527799779729
"Cenozoic 5","Ampullinidae","Pachycrommium",0.481527799779729
"Cenozoic 5","Ampullinidae","Clithon",0.481527799779729
"Cenozoic 5","Ampullinidae","Megatylotus",0.481527799779729
"Cenozoic 5","Ampullinidae","Pseudamaura",0.481527799779729
"Cenozoic 5","Ampullinidae","Waluia",0.481527799779729
"Cenozoic 5","Ampullinidae","Ampullina (Ampullospira)",0.481527799779729
"Cenozoic 5","Anatinellidae","Raeta",0.481527799779729
"Cenozoic 5","Anatomidae","Schizotrochus",0.481527799779729
"Cenozoic 5","Anisopodidae","Sylvicola",0.481527799779729
"Cenozoic 5","Annectocymidae","Annectocyma",0.481527799779729
"Cenozoic 5","Anomiidae","Anomia",0.481527799779729
"Cenozoic 5","Anomiidae","Pododesmus (Monia)",0.481527799779729
"Cenozoic 5","Anomiidae","Monia",0.481527799779729
"Cenozoic 5","Anomiidae","Isomonia",0.481527799779729
"Cenozoic 5","Anomiidae","Anomia (Anomia)",0.481527799779729
"Cenozoic 5","Anomiidae","Indoplacuna",0.481527799779729
"Cenozoic 5","Anomiidae","Pododesmus",0.481527799779729
"Cenozoic 5","Anomiidae","Wakullina",0.481527799779729
"Cenozoic 5","Anomiidae","Carolia",0.481527799779729
"Cenozoic 5","Antroporidae","Antropora",0.481527799779729
"Cenozoic 5","Antroporidae","Parantropora",0.481527799779729
"Cenozoic 5","Antroporidae","Akatopora",0.481527799779729
"Cenozoic 5","Aphididae","Greenidea",0.481527799779729
"Cenozoic 5","Aphrocallistidae","Aphrocallistes",0.481527799779729
"Cenozoic 5","Aphrophoridae","Aphrophora",0.481527799779729
"Cenozoic 5","Apidae","Anthophorites",0.481527799779729
"Cenozoic 5","Aporrhaidae","Drepanocheilus",0.481527799779729
"Cenozoic 5","Aporrhaidae","Aporrhais",0.481527799779729
"Cenozoic 5","Aporrhaidae","Chenopus",0.481527799779729
"Cenozoic 5","Aporrhaidae","Struthiochenopus",0.481527799779729
"Cenozoic 5","Arachnopusiidae","Arachnopusia",0.481527799779729
"Cenozoic 5","Arachnopusiidae","Poricella",0.481527799779729
"Cenozoic 5","Aradidae","Aradus",0.481527799779729
"Cenozoic 5","Archaeobalanidae","Chirona",0.481527799779729
"Cenozoic 5","Archaeobalanidae","Hesperibalanus",0.481527799779729
"Cenozoic 5","Architectonicidae","Discotectonica",0.481527799779729
"Cenozoic 5","Architectonicidae","Architectonica",0.481527799779729
"Cenozoic 5","Architectonicidae","Solarium",0.481527799779729
"Cenozoic 5","Architectonicidae","Torinia",0.481527799779729
"Cenozoic 5","Architectonicidae","Pseudomalaxis",0.481527799779729
"Cenozoic 5","Architectonicidae","Pseudotorinia",0.481527799779729
"Cenozoic 5","Architectonicidae","Granosolarium",0.481527799779729
"Cenozoic 5","Architectonicidae","Philippia",0.481527799779729
"Cenozoic 5","Architectonicidae","Heliacus",0.481527799779729
