"phylum","class","order","family","otu"
"Arthropoda","Trilobita","Proetida","Brachymetopidae","Australosutura"
"Arthropoda","Trilobita","Proetida","Proetidae","Carbonocoryphe"
"Arthropoda","Trilobita","Proetida","Proetidae","Thigriffides"
"Arthropoda","Trilobita","Proetida","Proetidae","Pudoproetus"
"Arthropoda","Trilobita","Proetida","Proetidae","Griffithidella"
"Echinodermata","","Spiraculata","Pentremitidae","Pentremites"
"Porifera","Heteractinida","Octactinellida","Wewokellidae","Wewokella"
"Brachiopoda","Strophomenata","Productida","Aulostegidae","Gondolina"
"Chordata","","","","Undichna"
"Echinodermata","Crinoidea","Monobathrida","","Agaricocrinus"
"Brachiopoda","Rhynchonellata","Spiriferida","Elythidae","Phricodothyris"
"Bryozoa","Stenolaemata","Rhabdomesida","Rhomboporidae","Rhombopora"
"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Plagioglypta"
"Mollusca","Cephalopoda","Goniatitida","Bisatoceratidae","Bisatoceras"
"Mollusca","Cephalopoda","Goniatitida","Glaphyritidae","Glaphyrites"
"Brachiopoda","Strophomenata","Productida","Rugosochonetidae","Chonetinella"
"Brachiopoda","Rhynchonellata","Spiriferida","Ambocoeliidae","Crurithyris"
"Brachiopoda","Rhynchonellata","Athyridida","Neoretziidae","Hustedia"
"Brachiopoda","Lingulata","Lingulida","Disciniidae","Orbiculoidea"
"Brachiopoda","Rhynchonellata","Rhynchonellida","Petasmariidae","Shumardella"
"Brachiopoda","Rhynchonellata","Rhynchonellida","Wellerellidae","Wellerella"
"Mollusca","Gastropoda","","Pseudozygopleuridae","Cyclozyga"
"Brachiopoda","Strophomenata","Orthotetida","Derbyiidae","Derbyia"
"Brachiopoda","Strophomenata","Productida","Productellidae","Marginifera"
"Brachiopoda","Rhynchonellata","Spiriferinida","Punctospiriferidae","Punctospirifer"
"Mollusca","Gastropoda","","Donaldinidae","Donaldina"
"Mollusca","Bivalvia","Carditida","Astartidae","Astartella"
"Mollusca","Bivalvia","Nuculida","Nuculidae","Nucula"
"Mollusca","Bivalvia","Nuculanida","Nuculanidae","Phestia"
"Mollusca","Gastropoda","Bellerophontida","Euphemitidae","Euphemites"
"Mollusca","Gastropoda","Murchisoniina","Lophospiridae","Worthenia"
"Mollusca","Gastropoda","Murchisoniina","Zygopleuridae","Zygopleura"
"Brachiopoda","Rhynchonellata","Athyridida","Athyrididae","Composita"
"Brachiopoda","Rhynchonellata","Orthida","Enteletidae","Enteletes"
"Brachiopoda","Strophomenata","Productida","Productellidae","Hystriculina"
"Brachiopoda","Rhynchonellata","Spiriferida","Trigonotretidae","Neospirifer"
"Cnidaria","Anthozoa","Stauriida","Lophophyllidiidae","Lophophyllidium"
"Mollusca","Gastropoda","Euomphalina","Anomphalidae","Anomphalus"
"Mollusca","Gastropoda","","Pseudozygopleuridae","Pseudozygopleura"
"Mollusca","Gastropoda","Euomphalina","Euomphalidae","Straparollus"
"Brachiopoda","Strophomenata","Productida","Rugosochonetidae","Plicochonetes"
"Brachiopoda","Rhynchonellata","Orthida","Rhipidomellidae","Rhipidomella"
"Brachiopoda","Strophomenata","Productida","Rugosochonetidae","Neochonetes"
"Brachiopoda","Strophomenata","Productida","Rugosochonetidae","Rugosochonetes"
"Mollusca","Gastropoda","Murchisoniina","Gosseletinidae","Trepospira"
"Bryozoa","Stenolaemata","Trepostomida","Stenoporidae","Tabulipora"
"Brachiopoda","Strophomenata","Productida","Anopliidae","Chonetina"
"Bryozoa","Stenolaemata","Fenestrata","","Fenestrellina"
"Bryozoa","Stenolaemata","Fenestrida","Septoporidae","Septopora"
"Bryozoa","Stenolaemata","Fenestrida","Polyporidae","Polypora"
"Bryozoa","Stenolaemata","Fenestrata","","Ptylopora"
"Bryozoa","Stenolaemata","Rhabdomesida","Rhabdomesidae","Rhabdomeson"
"Mollusca","Gastropoda","","Portlockiellidae","Shansiella"
"Mollusca","Gastropoda","Bellerophontida","Tropidodiscidae","Sinuitina"
"Mollusca","Bivalvia","Mytilida","Mytilidae","Modiolus"
"Mollusca","Bivalvia","Nuculanida","Nuculanidae","Nuculana"
"Mollusca","Bivalvia","Nuculida","Nuculidae","Nuculopsis"
"Mollusca","Gastropoda","Euomphalina","Elasmonematidae","Anematina"
"Brachiopoda","Rhynchonellata","Spiriferida","Spiriferidae","Anthracospirifer"
"Mollusca","Gastropoda","Euomphalina","Platyceratidae","Platyceras"
"Cnidaria","Scyphozoa","Conulariida","Conulariidae","Paraconularia"
"Porifera","Demospongea","Agelasida","Girtyocoeliidae","Girtycoelia"
"Brachiopoda","Strophomenata","Productida","Productellidae","Desmoinesia"
"Mollusca","Gastropoda","Murchisoniina","Gosseletinidae","Glabrocingulum"
"Mollusca","Gastropoda","","Goniasmatidae","Goniasma"
"Mollusca","Gastropoda","","Meekospiridae","Meekospira"
"Mollusca","Gastropoda","","Orthonematidae","Orthonema"
"Mollusca","Gastropoda","","Phymatopleuridae","Phymatopleura"
"Brachiopoda","Strophomenata","Productida","Productidae","Antiquatonia"
"Brachiopoda","Rhynchonellata","Athyridida","Athyrididae","Cleiothyridina"
"Brachiopoda","Strophomenata","Productida","Echinoconchidae","Juresania"
