stage	date	FL	bL	Ft	BT	tot.d	q.ext	p.spp
R	0	0	4323	0	0	4323	NA 	NA 
Plei	1.8	23	57	206	4117	4403	0.007639	0.027125
Plio	5.3	115	277	431	3743	4566	0.020398	0.031139
Mi	23	518	462	1264	2756	5000	0.008756	0.021328
Ol	33.9	166	212	600	2618	3596	0.007144	0.018931
Eo	55.8	787	327	1415	1415	3944	0.009493	0.031651
Pale	65.5	203	210	685	1057	2155	0.018682	0.051505
Maes	70.6	260	809	215	1052	2336	0.111847	0.036463
Camp	83.5	163	183	420	1441	2207	0.009268	0.019828
Sant	85.8	67	75	175	1449	1766	0.021941	0.049573
Coni	89.3	48	36	139	1385	1608	0.007332	0.027325
Turo	93.5	77	88	188	1233	1586	0.016414	0.033788
Ceno	99.6	216	210	306	1015	1747	0.030828	0.043197
Albi	112	210	136	271	954	1571	0.010748	0.020164
Apti	125	92	145	210	880	1327	0.011733	0.016462
Barr	130	68	73	127	898	1166	0.015631	0.026456
Haut	136.4	41	53	100	871	1065	0.00923	0.016982
Vala	140.2	57	70	133	791	1051	0.022315	0.040898
Berr	145.5	30	49	64	797	940	0.011257	0.014574
Tith	150.8	175	178	108	738	1199	0.040768	0.025769
Kimm	155.7	91	116	94	822	1123	0.026941	0.022097
Oxfo	161.2	151	103	177	761	1192	0.02308	0.038021
Call	164.7	135	119	124	740	1118	0.042605	0.044264
Bath	167.7	127	77	159	700	1063	0.034787	0.06823
Bajo	171.6	157	89	195	582	1023	0.036487	0.074095
Aale	175.6	31	25	101	570	727	0.010731	0.040783
Toar	183	94	77	98	497	766	0.019465	0.02432
Plie	189.6	123	90	130	444	787	0.027965	0.03891
Sine	196.5	86	23	131	403	643	0.008044	0.040791
Hett	199.6	31	10	87	339	467	0.009378	0.07369
Nori	216.5	333	262	83	266	944	0.040568	0.01607
Carn	228	198	129	152	376	855	0.02565	0.029522
Ladi	237	134	47	174	331	686	0.014753	0.046938
Anis	245	131	29	165	213	538	0.015956	0.0717
Olen	249.7	113	10	66	176	365	0.011758	0.067756
Indu	251	19	25	13	173	230	0.103827	0.055735
Tatr	260.4	146	353	17	181	697	0.115096	0.00955
Guad	270.6	270	412	89	445	1216	0.064251	0.017875
Leon	284.4	217	194	205	652	1268	0.018875	0.019811
Sakm	294.6	48	97	148	698	991	0.012757	0.018853
Asse	299	61	66	124	671	922	0.021322	0.038539
Step	306.5	90	160	107	630	987	0.030175	0.020916
Mosc	311.7	125	136	166	624	1051	0.037917	0.045362
Bash	318.1	99	71	144	616	930	0.017045	0.032824
Serp	326.4	149	252	91	596	1088	0.042487	0.01712
Vise	345.3	422	273	308	540	1543	0.021649	0.023879
Tour	359.2	230	109	365	448	1152	0.015667	0.042873
Fame	374.5	345	156	157	400	1058	0.021523	0.021641
Fras	385.3	276	309	81	475	1141	0.046398	0.014579
Give	391.8	221	364	172	612	1369	0.071805	0.038104
Eife	397.5	283	337	246	730	1596	0.06659	0.050951
Emsi	407	320	265	326	741	1652	0.032183	0.03838
Sieg	411.2	140	101	255	751	1247	0.030043	0.069603
Gedi	416	130	144	236	616	1126	0.043765	0.067571
Prid	418.7	82	150	72	688	992	0.073048	0.036863
Ludl	422.9	248	315	185	653	1401	0.093727	0.059391
Wenl	428.2	348	198	333	635	1514	0.051209	0.079549
Ldov	443.7	268	126	339	494	1227	0.014657	0.03371
Ashg	449	359	596	135	485	1575	0.151225	0.046334
Cara	458	495	337	484	597	1913	0.049729	0.065969
Llde	464	120	126	348	586	1180	0.03246	0.077693
Llvi	470	154	164	302	410	1030	0.056079	0.091987
Aren	485	356	85	426	148	1015	0.030255	0.090361
Trem	488.3	248	72	157	76	553	0.201963	0.339486
Trep	493	177	57	55	93	382	0.10171	0.098854
Fran	495	184	58	74	76	392	0.283553	0.339951
Dres	501	178	96	77	57	408	0.164564	0.142465
uMid	504	178	126	94	59	457	0.380939	0.317633
mMid	507	168	83	69	116	436	0.179905	0.155589
lMid	513	52	33	31	168	284	0.02989	0.028223
Tojo	520	96	67	56	145	364	0.054265	0.046653
Boto	527	425	189	94	118	826	0.136595	0.0837
Atda	532	293	45	235	72	645	0.097102	0.290036
Tomm	542	173	19	91	26	309	0.054857	0.150408
N-Da	600	13	0	45	0	58	NA	NA
