"tbin","ma_mid"
"Cambrian 1",536
"Cambrian 2",521.5
"Cambrian 3",507
"Cambrian 4",494.65
"Ordovician 1",483.45
"Ordovician 2",472.3
"Ordovician 3",463.45
"Ordovician 4",455.2
"Ordovician 5",446.6
"Silurian 1",435.95
"Silurian 2",422.1
"Devonian 1",412.55
"Devonian 2",400.5
"Devonian 3",387.8
"Devonian 4",379.9
"Devonian 5",368.4
"Carboniferous 1",353
"Carboniferous 2",340.65
"Carboniferous 3",327.05
"Carboniferous 4",312.525
"Carboniferous 5",302.925
"Permian 1",294.5
"Permian 2",281.3
"Permian 3",265.75
"Permian 4",255.65
"Triassic 1",249.75
"Triassic 2",241.1
"Triassic 3",228.25
"Triassic 4",211.55
"Jurassic 1",195.6
"Jurassic 2",186.3
"Jurassic 3",177.3
"Jurassic 4",168.15
"Jurassic 5",157.75
"Jurassic 6",148.15
"Cretaceous 1",140.95
"Cretaceous 2",130.925
"Cretaceous 3",119.025
"Cretaceous 4",106.15
"Cretaceous 5",97
"Cretaceous 6",89.6
"Cretaceous 7",77.75
"Cretaceous 8",68.3215
"Cenozoic 1",60.9215
"Cenozoic 2",48.1
"Cenozoic 3",37.15
"Cenozoic 4",28.465
"Cenozoic 5",17.319
"Cenozoic 6",5.81
