"name","tbin","ma_min","ma_max"
"Cenozoic",NA,0,66.043
"Mesozoic",NA,66.043,252.3
"Paleozoic",NA,252.3,542
"Sinian",NA,542,635
"Riphean",NA,635,1650
"Animikean",NA,1650,NA
"Huronian",NA,NA,NA
"Randian",NA,NA,NA
"Swazian",NA,NA,NA
"Isuan",NA,NA,1650
"Hadean",NA,1650,4560
"Quaternary",NA,0,2.588
"Tertiary",NA,2.588,66.043
"Cretaceous",NA,66.043,145.5
"Jurassic",NA,145.5,201.6
"Triassic",NA,201.6,252.3
"Permian",NA,252.3,298.9
"Carboniferous",NA,298.9,360.7
"Devonian",NA,360.7,416
"Silurian",NA,416,443.7
"Ordovician",NA,443.7,488.3
"Cambrian",NA,488.3,542
"Vendian",NA,542,635
"Sturtian",NA,663,723
"Neogene",NA,2.588,23.03
"Paleogene",NA,23.03,66.043
"Pennsylvanian",NA,298.9,318.1
"Mississippian",NA,318.1,360.7
"Upper Ordovician",NA,443.7,460.9
"Middle Ordovician",NA,460.9,471.8
"Lower Ordovician",NA,471.8,488.3
"Holocene",NA,0,0.012
"Pleistocene","Cenozoic 6",0.012,2.588
"Pliocene","Cenozoic 6",2.588,5.332
"Miocene",NA,5.332,23.03
"Oligocene","Cenozoic 4",23.03,33.9
"Eocene",NA,33.9,55.8
"Paleocene","Cenozoic 1",55.8,66.043
"Upper Cretaceous",NA,66.043,99.7
"Lower Cretaceous",NA,99.7,145.5
"Upper Jurassic",NA,145.5,161.2
"Middle Jurassic",NA,161.2,175.6
"Lower Jurassic",NA,175.6,201.6
"Upper Triassic",NA,201.6,235
"Middle Triassic","Triassic 2",235,247.2
"Lower Triassic","Triassic 1",247.2,252.3
"Zechstein","Permian 4",252.3,NA
"Rotliegendes",NA,NA,298.9
"Gzhelian","Carboniferous 5",298.9,303.4
"Kasimovian","Carboniferous 5",303.4,306.95
"Moscovian","Carboniferous 4",306.95,314.6
"Bashkirian","Carboniferous 4",314.6,318.1
"Serpukhovian","Carboniferous 3",318.1,326.4
"Visean",NA,326.4,345.3
"Tournaisian","Carboniferous 1",345.3,360.7
"Upper Devonian",NA,360.7,383.7
"Middle Devonian","Devonian 3",383.7,391.9
"Lower Devonian",NA,391.9,416
"Pridoli","Silurian 2",416,418.7
"Ludlow","Silurian 2",418.7,422.9
"Wenlock","Silurian 2",422.9,428.2
"Llandovery","Silurian 1",428.2,443.7
"Ashgill","Ordovician 5",443.7,449.5
"Caradoc","Ordovician 4",449.5,460.9
"Llandeilo",NA,449.5,466
"Llanvirn","Ordovician 3",460.9,466
"Arenig","Ordovician 2",466,478.6
"Tremadoc","Ordovician 1",478.6,488.3
"Merioneth","Cambrian 4",488.3,501
"St Davids","Cambrian 3",501,513
"Caerfai","Cambrian 2",513,530
"Ediacara",NA,542,NA
"Varanger",NA,NA,635
"Karatau",NA,635,1050
"Yurmatin",NA,1050,1350
"Burzyan",NA,1350,1650
"Lower Imbrian",NA,1650,3850
"Nectarian",NA,3850,3950
"Basin Groups 1-9",NA,3950,4150
"Cryptic",NA,4150,4560
"Upper Pliocene","Cenozoic 6",2.588,3.6
"Lower Pliocene","Cenozoic 6",3.6,5.332
"Upper Miocene","Cenozoic 6",5.332,11.608
"Middle Miocene","Cenozoic 5",11.608,15.97
"Lower Miocene","Cenozoic 5",15.97,23.03
"Upper Oligocene","Cenozoic 4",23.03,28.4
"Lower Oligocene","Cenozoic 4",28.4,33.9
"Upper Eocene","Cenozoic 3",33.9,37.2
"Middle Eocene",NA,37.2,48.6
"Lower Eocene","Cenozoic 2",48.6,55.8
"Upper Paleocene","Cenozoic 1",55.8,58.7
"Lower Paleocene","Cenozoic 1",61.7,66.043
"Senonian",NA,66.043,89.3
"Gallic",NA,89.3,130
"Neocomian",NA,130,145.5
"Piacenzian","Cenozoic 6",2.588,3.6
"Zanclean","Cenozoic 6",3.6,5.332
"Messinian","Cenozoic 6",5.332,7.246
"Tortonian","Cenozoic 6",7.246,11.608
"Serravallian","Cenozoic 5",11.608,13.65
