"Acrotretida"	"Actinocerida"	"Agelasida"	"Amiiformes"	"Ammonoidea"	"Amphidiscosa"	"Anomalodesmata"	"Apodida"	"Arbacioida"	"Archaeogastropoda"	"Archinacellida"	"Architaenioglossa"	"Arcoida"	"Asaphida"	"Athyridida"	"Atrypida"	"Auloporida"	"Axinellida"	"Belemnitida"	"Bellerophontida"	"Camarodonta"	"Carcharhiniformes"	"Carditoida"	"Cassiduloida"	"Cephalaspida"	"Cephalaspidea"	"Ceratitida"	"Chaetetida"	"Cheilostomata"	"Chimaeriformes"	"Cidaroida"	"Clavulina"	"Clypeasteroida"	"Coenothecalia"	"Conocardiida"	"Conodontophorida"	"Conulariida"	"Cornulitida"	"Corynexochida"	"Craniida"	"Cryptostomata"	"Cryptostomida"	"Ctenacanthiformes"	"Ctenostomata"	"Cyclostomata"	"Cyrtocrinida"	"Cyrtonellida"	"Cyrtoneritimorpha"	"Cystoporata"	"Cystoporida"	"Decapoda"	"Dendrochirotida"	"Dendrocrinida"	"Dendroidea"	"Dentaliida"	"Dictyonellida"	"Diplobathrida"	"Echinoneoida"	"Elasipodida"	"Euomphalina"	"Favositida"	"Fenestrata"	"Fenestrida"	"Fissiculata"	"Gadilida"	"Goniatitida"	"Gorgonacea"	"Graptoloidea"	"Hadromerida"	"Harpetida"	"Helioporacea"	"Heterostrophia"	"Hexactinosa"	"Hexanchiformes"	"Hippuritoida"	"Holasteroida"	"Holectypoida"	"Hyolithida"	"Isocrinida"	"Isorophida"	"Labechiida"	"Lamniformes"	"Lichida"	"Limoida"	"Lingulida"	"Lychniscosa"	"Lyssacinosa"	"Metacopida"	"Milleporina"	"Mimospirida"	"Modiomorphoida"	"Monobathrida"	"Murchisoniina"	"Myliobatiformes"	"Myodocopida"	"Myoida"	"Mytiloida"	"Nautilida"	"Neogastropoda"	"Neoloricata"	"Neotaenioglossa"	"Neritoina"	"Nuculanoida"	"Nuculoida"	"Odontaspidida"	"Oncocerida"	"Ophiurida"	"Orchocladina"	"Orectolobiformes"	"Orthida"	"Orthocerida"	"Orthotetida"	"Orthothecida"	"Palaeocopida"	"Palaeonisciformes"	"Paxillosida"	"Pectinoida"	"Pentamerida"	"Perciformes"	"Phacopida"	"Pharetronida"	"Pholadomyoida"	"Phymosomatoida"	"Platycopida"	"Podocopida"	"Productida"	"Proetida"	"Prolecanitida"	"Protorthida"	"Pseudorthocerida"	"Ptenoglossa"	"Pterioida"	"Pycnodontiformes"	"Rajiformes"	"Reticulosa"	"Rhabdomesida"	"Rhynchonellida"	"Roveacrinida"	"Sagenocrinida"	"Salenioida"	"Scleractinia"	"Sedentarida"	"Serpulimorpha"	"Solemyoida"	"Sorbeoconcha"	"Spatangoida"	"Spiriferida"	"Spiriferinida"	"Spirosclerophorida"	"Spongiomorphida"	"Squaliformes"	"Squatiniformes"	"Stauriida"	"Stellispongiida"	"Stromatoporida"	"Strophomenida"	"Synechodontiformes"	"Tabulospongida"	"Taxocrinida"	"Tentaculitida"	"Terebratulida"	"Thecideida"	"Trepostomida"	"Trigonioida"	"Tryblidiida"	"Unionoida"	"Vaceletida"	"Valvatida"	"Veneroida"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	64	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	3	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
17	0	0	0	0	0	0	0	0	0	1	0	0	106	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	0	0	30	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	1	0	0	0	0	6	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
0	0	0	0	0	0	0	4	0	0	1	0	1	0	18	0	10	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	24	1	1	0	3	0	0	2	0	1	0	0	1	1	7	0	2	2	0	5	0	3	0	0	15	4	3	4	5	0	38	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	1	0	1	1	20	22	0	3	0	0	7	0	0	0	2	3	3	0	2	0	0	0	4	1	6	0	15	2	0	10	0	0	1	0	5	0	2	15	64	72	3	0	2	0	7	0	0	0	5	27	0	0	0	0	0	0	0	0	0	38	11	0	0	0	0	48	0	0	5	0	0	2	1	10	0	0	1	0	0	0	0	1
0	2	2	0	0	0	0	2	0	0	2	0	1	0	8	1	6	0	0	7	0	0	2	0	0	0	1	1	0	0	0	0	0	0	7	7	1	1	0	3	6	0	1	2	1	0	0	1	5	8	0	1	2	1	3	1	2	0	0	16	7	6	9	4	0	21	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	4	0	0	5	0	0	4	20	26	0	2	0	3	7	0	1	0	2	8	2	0	0	1	0	0	5	2	6	0	20	0	0	15	0	0	0	0	14	0	4	14	64	22	3	0	3	0	15	0	0	4	8	12	0	8	0	0	0	0	1	0	0	22	10	1	0	0	0	62	0	0	2	0	0	3	0	4	0	7	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	1	0	6	0	6	0	0	8	0	0	3	0	0	0	0	4	0	0	0	0	0	0	4	9	1	1	0	2	4	0	2	1	1	0	0	1	2	6	0	0	1	0	1	1	1	0	0	16	1	6	8	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	2	10	34	0	0	0	3	9	0	0	0	1	6	5	0	0	0	0	0	3	3	9	0	4	1	0	20	0	0	0	0	15	0	1	3	50	11	3	0	3	0	19	0	0	4	4	8	0	3	0	0	0	0	0	0	0	15	4	1	0	0	0	67	0	0	2	0	0	2	0	6	0	5	1	0	0	0	0	0
0	1	0	0	0	2	0	2	0	1	0	0	2	0	5	0	5	1	0	11	0	0	3	0	0	0	0	1	0	0	0	0	0	0	7	17	1	0	0	3	2	1	2	0	1	0	0	1	2	8	0	3	7	0	4	0	0	0	1	17	2	5	8	1	0	69	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	2	4	0	1	0	0	0	0	3	38	0	1	0	4	16	0	8	0	1	8	5	0	0	0	0	0	4	3	6	0	8	2	0	18	0	0	0	0	21	0	1	6	74	6	6	0	6	0	17	0	0	2	6	15	0	2	0	0	0	0	1	1	0	34	6	1	0	0	0	57	0	0	1	0	0	1	0	3	0	4	1	0	0	2	0	0
0	0	2	0	0	0	0	2	0	0	2	0	1	0	3	0	4	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	5	1	0	0	2	3	1	1	0	0	0	0	0	0	5	0	1	6	0	3	1	0	0	1	9	0	8	14	1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	1	0	0	1	1	14	0	0	0	4	9	0	3	0	0	6	4	0	0	1	0	0	6	0	9	0	7	0	0	10	0	0	0	1	7	0	1	12	44	5	8	0	3	0	10	0	0	0	4	10	0	2	0	0	0	0	1	0	0	15	4	0	0	0	0	58	0	0	0	0	0	1	0	3	0	3	1	0	0	2	0	0
0	0	0	0	0	0	4	0	2	7	0	7	20	0	0	0	0	1	0	0	1	7	22	2	7	22	0	0	55	2	4	2	1	1	0	0	0	0	0	3	0	0	0	0	17	1	0	0	0	1	19	0	0	0	3	0	0	1	0	0	0	0	0	0	3	0	3	0	1	0	3	7	1	5	0	5	1	0	1	0	0	1	0	8	0	1	0	0	0	0	0	0	0	11	0	16	15	7	123	0	101	1	16	6	14	0	2	0	2	0	0	0	0	0	0	0	18	0	2	0	1	2	4	3	27	0	0	0	0	0	12	23	0	3	0	0	3	0	1	2	112	3	7	1	57	9	0	0	0	0	6	1	0	0	0	0	3	0	0	0	16	1	0	1	0	0	0	2	127
