collection_no,occurrences.class_name,occurrences.order_name,occurrences.family_name,occurrences.genus_reso,occurrences.genus_name,occurrences.subgenus_reso,occurrences.subgenus_name,original.genus_reso,original.genus_name,original.subgenus_reso,original.subgenus_name,collections.reference_no,collections.10_my_bin
1575,Cephalopoda,Ammonoidea,Sphenodiscidae,,Sphenodiscus,,,,,,,45,"Cretaceous 8"
1637,Cephalopoda,Ammonoidea,Placenticeratidae,,Placenticeras,,,,,,,45,"Cretaceous 7"
1639,Cephalopoda,Ammonoidea,Placenticeratidae,,Placenticeras,,,,,,,45,"Cretaceous 7"
1640,Cephalopoda,Ammonoidea,Placenticeratidae,,Placenticeras,,,,,,,45,"Cretaceous 7"
1641,Cephalopoda,Ammonoidea,Placenticeratidae,,Placenticeras,,,,,,,45,"Cretaceous 7"
1643,Cephalopoda,Ammonoidea,Placenticeratidae,,Placenticeras,,,,,,,45,"Cretaceous 7"
1654,Cephalopoda,Ammonoidea,Placenticeratidae,,Placenticeras,,,,,,,45,"Cretaceous 7"
1668,Cephalopoda,Ammonoidea,Placenticeratidae,,Placenticeras,,,,,,,45,"Cretaceous 7"
1671,Cephalopoda,Ammonoidea,Placenticeratidae,,Placenticeras,,,,,,,45,"Cretaceous 7"
1677,Cephalopoda,Ammonoidea,Placenticeratidae,,Placenticeras,,,,,,,45,"Cretaceous 7"
1678,Cephalopoda,Ammonoidea,Placenticeratidae,,Placenticeras,,,,,,,45,"Cretaceous 7"
1724,Cephalopoda,Ammonoidea,Placenticeratidae,,Placenticeras,,,,,,,45,"Cretaceous 7"
1740,Cephalopoda,Ammonoidea,Placenticeratidae,,Placenticeras,,,,,,,45,"Cretaceous 7"
1747,Cephalopoda,Ammonoidea,Oppeliidae,,Aconeceras,,,,,,,47,"Cretaceous 3"
1748,Cephalopoda,Ammonoidea,Oppeliidae,,Sanmartinoceras,,,,,,,47,"Cretaceous 3"
1749,Cephalopoda,Ammonoidea,Oppeliidae,cf.,Aconeceras,,,,,,,47,"Cretaceous 3"
1760,Cephalopoda,Ammonoidea,Oppeliidae,cf.,Aconeceras,,,,,,,47,"Cretaceous 3"
1765,Cephalopoda,Ammonoidea,Hoplitidae,,Sonneratia,,,,,,,47,"Cretaceous 4"
1765,Cephalopoda,Ammonoidea,Hoplitidae,,Anadesmoceras,,,,,,,47,"Cretaceous 4"
1765,Cephalopoda,Ammonoidea,Desmoceratidae,,Beudanticeras,,,,,,,47,"Cretaceous 4"
1765,Cephalopoda,Ammonoidea,Hoplitidae,,Otohoplites,,,,,,,47,"Cretaceous 4"
1766,Cephalopoda,Ammonoidea,Hoplitidae,,Sonneratia,,,,,,,47,"Cretaceous 4"
1766,Cephalopoda,Ammonoidea,Hoplitidae,,Cleoniceras,,,,,,,47,"Cretaceous 4"
1771,Cephalopoda,Ammonoidea,Hoplitidae,,Sonneratia,,,,,,,47,"Cretaceous 4"
1771,Cephalopoda,Ammonoidea,Hoplitidae,,Otohoplites,,,,,,,47,"Cretaceous 4"
1771,Cephalopoda,Ammonoidea,Hoplitidae,,Protohoplites,,,,,,,47,"Cretaceous 4"
1782,Cephalopoda,Ammonoidea,Leymeriellidae,,Leymeriella,,,,,,,47,"Cretaceous 4"
1782,Cephalopoda,Ammonoidea,Hoplitidae,,Anadesmoceras,,,,,,,47,"Cretaceous 4"
1783,Cephalopoda,Ammonoidea,Hoplitidae,,Sonneratia,,,,,,,47,"Cretaceous 4"
1783,Cephalopoda,Ammonoidea,Desmoceratidae,,Beudanticeras,,,,,,,47,"Cretaceous 4"
1783,Cephalopoda,Ammonoidea,Desmoceratidae,,Uhligella,,Uhligella,,Uhligella,,,47,"Cretaceous 4"
1783,Cephalopoda,Ammonoidea,Knemiceratidae,,Parengonoceras,,,,,,,47,"Cretaceous 4"
