child_name,status,parent_name,author1init,author1last,author2init,author2last,otherauthors,pubyr
Phanerotrematidae,"belongs to",Pleurotomariacea,,,,,,
Lophospiridae,"belongs to",Pleurotomariacea,,,,,,
Omosauria,"belongs to",Reptilia,,,,,,
Porata,"belongs to",Calcarea,,,,,,
Celyphiidae,"belongs to",Aporata,,,,,,
Ascosymplegmatidae,"belongs to",Porata,,,,,,
Oriostomatidae,"belongs to",Oriostomatacea,,,,,,
Porcelliidae,"belongs to",Pleurotomariacea,,,,,,
Murchisoniidae,"belongs to",Murchisoniacea,,,,,,
Monoplacophora,"belongs to",Mollusca,,,,,,
Luciellidae,"belongs to",Pleurotomariacea,,,,,,
Tubinidae,"belongs to",Oriostomatacea,,,,,,
Eotomariidae,"belongs to",Pleurotomariacea,,,,,,
Sinuopeidae,"belongs to",Pleurotomariacea,,,,,,
Onychochilidae,"belongs to",Macluritoidea,,,,,,
Angariidae,"belongs to",Angariinae,,,,,,
Architectonicacea,"objective synonym of",Architectonicoidea,,,,,,
Buccinacea,"objective synonym of",Buccinoidea,,,,,,
Calyptraeacea,"objective synonym of",Calyptraeoidea,,,,,,
Conacea,"objective synonym of",Conoidea,,,,,,
Fissurellacea,"belongs to",Pleurotomariina,,,,,,
Hyriidae,"belongs to",Hyriinae,,,,,,
Liotiidae,"belongs to",Liotiinae,,,,,,
Muricacea,"objective synonym of",Muricoidea,,,,,,
Naticacea,"objective synonym of",Naticoidea,,,,,,
Phasianellidae,"belongs to",Phasianellinae,,,,,,
Phasianellidae,"belongs to",Trochacea,,,,,,
Philinacea,"objective synonym of",Philinoidea,,,,,,
Plethospiridae,"belongs to",Murchisoniacea,,,,,,
Pleurotomariacea,"belongs to",Pleurotomariina,,,,,,
Pyramidellacaea,"objective synonym of",Pyramidellacea,,,,,,
Sphaeriidae,"belongs to",Corbiculacea,,,,,,
Vasidae,"belongs to",Vasinae,,,,,,
Primates,"belongs to",Mammalia,C.,Linnaeus,,,,1758
Pecora,"belongs to",Mammalia,C.,Linnaeus,,,,1758
Cete,"belongs to",Mammalia,C.,Linnaeus,,,,1758
Bruta,"belongs to",Mammalia,C.,Linnaeus,,,,1758
Ferae,"belongs to",Mammalia,C.,Linnaeus,,,,1758
Glires,"belongs to",Mammalia,C.,Linnaeus,,,,1758
Bellua,"belongs to",Mammalia,C.,Linnaeus,,,,1758
Araneae,"belongs to",Arachnida,,Lamarck,,,,1801
